AddressCodeID,HouseNumber,StreetDorm,City,AddressNote,Longitude,Lattitude,FullAdress
149,1000,Catherine St.,Ann Arbor,,42.282834,-83.736946,1000 Catherine St.
150,1004,Catherine St.,Ann Arbor,,42.282736,-83.736951,1004 Catherine St.
151,1013,Catherine St.,Ann Arbor,,,,1013 Catherine St.
152,1015,Catherine St.,Ann Arbor,,42.283531,-83.736131,1015 Catherine St.
153,1017,Catherine St.,Ann Arbor,,42.283557,-83.735679,1017 Catherine St.
155,1027,Catherine St.,Ann Arbor,,42.283584,-83.736125,1027 Catherine St.
156,1028,Catherine St.,Ann Arbor,,,,1028 Catherine St.
157,1065,Catherine St.,Ann Arbor,,,,1065 Catherine St.
158,1109,Catherine St.,Ann Arbor,,,,1109 Catherine St.
160,1115,Catherine St.,Ann Arbor,,42.283679,-83.7345,1115 Catherine St.
161,1136,Catherine St.,Ann Arbor,,42.283466,-83.733583,1136 Catherine St.
162,506,Catherine St.,Ann Arbor,,42.282818,-83.742575,506 Catherine St.
163,602,Catherine St.,Ann Arbor,,,,602 Catherine St.
165,809,Catherine St.,Ann Arbor,,,,809 Catherine St.
166,918,Catherine St.,Ann Arbor,,,,918 Catherine St.
507,1021,Catherine St.,Ann Arbor,,42.283198,-83.734075,1021 Catherine St.
508,517,Catherine St.,Ann Arbor,,,,517 Catherine St.
1027,1024,Catherine St.,Ann Arbor,,,,1024 Catherine St.
1028,1075,Catherine St.,Ann Arbor,,42.283201,-83.733778,1075 Catherine St.
1029,1110,Catherine St.,Ann Arbor,,,,1110 Catherine St.
1030,1809,Catherine St.,Ann Arbor,,,,1809 Catherine St.
2126,335,Catherine St.,Ann Arbor,,,,335 Catherine St.
2179,315,Catherine St.,Ann Arbor,,,,315 Catherine St.
1031,1302,Cedar Bend,Ann Arbor,,,,1302 Cedar Bend
1033,203,Charles St.,Ann Arbor,,,,203 Charles St.
1034,510,Cheever Ct.,Ann Arbor,,,,510 Cheever Ct.
1036,309,Cherry St.,Ann Arbor,,,,309 Cherry St.
1037,3147,Cherrytree Lane,Ann Arbor,,,,3147 Cherrytree Lane
546,925,Church St.,Ann Arbor,,,,925 Church St.
553,1019,Church St.,Ann Arbor,,,,1019 Church St.
554,1127,Church St.,Ann Arbor,,,,1127 Church St.
555,511,Church St.,Ann Arbor,,,,511 Church St.
556,543,Church St.,Ann Arbor,,,,543 Church St.
1041,1014,Church St.,Ann Arbor,,,,1014 Church St.
1042,1121,Church St.,Ann Arbor,,,,1121 Church St.
1043,1511,Church St.,Ann Arbor,,,,1511 Church St.
1044,415,Church St.,Ann Arbor,,42.277086,-83.73446,415 Church St.
1045,527,Church St.,Ann Arbor,,,,527 Church St.
1046,616,Church St.,Ann Arbor,,,,616 Church St.
1047,619,Church St.,Ann Arbor,,,,619 Church St.
1048,621,Church St.,Ann Arbor,,,,621 Church St.
1049,625,Church St.,Ann Arbor,,,,625 Church St.
1050,709,Church St.,Ann Arbor,,,,709 Church St.
1051,715,Church St.,Ann Arbor,,,,715 Church St.
