id,AddressCodeID,HouseNumber,StreetDorm,City,AddressNote,address,latitude,longitude,
503,737,509,Longshore Drive,Ann Arbor,,509 Longshore Drive,42.291514,-83.741599,from google maps
504,1380,533,Longshore Drive,Ann Arbor,,533 Longshore Drive,42.291565,-83.740944,from google maps
505,1381,537,Longshore Drive,Ann Arbor,,537 Longshore Drive,42.291452,-83.741433,from google maps
508,1388,600,Madison St.,Ann Arbor,,600 Madison St.,0,0,unsure west or east
520,9.1,,Mary Markley - Blagdon,Ann Arbor,dorm,Mary Markley,42.280881,-83.728876,
521,9.2,,Mary Markley - Elliot,Ann Arbor,dorm,Mary Markley,42.280881,-83.728876,
522,9.3,,Mary Markley - Fisher,Ann Arbor,dorm,Mary Markley,42.280881,-83.728876,
523,9.4,,Mary Markley - Little,Ann Arbor,dorm,Mary Markley,42.280881,-83.728876,
524,9.5,,Mary Markley - Scott,Ann Arbor,dorm,Mary Markley,42.280881,-83.728876,
584,1458,1514,Montclaire,Ann Arbor,,1514 Montclaire,42.262281,-83.73309,Montclair Place? from google maps
585,1459,407,Montgomery St.,Ann Arbor,,407 Montgomery St.,42.278559,-83.764105,montgomery ave? from google maps
588,301,207,Mosley St.,Ann Arbor,,207 Mosley St.,0,0,unsure west or east
589,303,119,Mosley St.,Ann Arbor,,119 Mosley St.,0,0,unsure west or east
597,1471,167826,Murfin Ave.,Ann Arbor,,1678-26 Murfin Ave.,42.296962,-83.718502,from google maps
599,1474,1700,Murfin Ct,Ann Arbor,check,1700 Murfin Ct,42.297104,-83.719337,"murfin ave?, from google maps, neither have buildings"
600,1473,1800,Murfin Ct.,Ann Arbor,check,1800 Murfin Ct.,42.296325,-83.719704,"murfin ave?, from google maps, neither have buildings"
601,2094,236,Murray St.,Ann Arbor,,236 Murray St.,42.279328,-83.755878,"murray ave?, from google maps, also shows murray av on sanborn maps"
602,1475,206,N. 14th St.,Ann Arbor,,206 N. 14th St.,0,0,"unsure - there wasn't a 206 for n. 14th, but there was one for s. 14th"
604,1477,1111,N. Blackstone,Ann Arbor,,1111 N. Blackstone,0,0,unsure
628,1507,645,N. Fourth St.,Ann Arbor,,645 N. Fourth St.,42.28679,-83.747104,n. 4th ave? from google maps
629,1514,2460,N. LaSalle,Ann Arbor,,2460 N. LaSalle,42.245121,-83.695899,"unsure, la selle dr? from google maps, not actual building"
664,610,,New WRH,Ann Arbor,Alice Lloyd Dorm,New WRH,42.28125005,-83.73175868,
678,18,2017,Northwood Apts.,Ann Arbor,,2017A Northwood Apts.,42.297308,-83.709052,put northwood community center from google maps
