address,Lon,Lat
544 Thompson St.,-83.743176,42.275758
520 N. 5th Ave.,-83.745519,42.285574
828 Green St.,-83.747811,42.270981
1335 Geddes Ave.,-83.73171,42.277768
101 S. Thayer St.,-83.739394,42.280454
30 Huron St.,-83.748862,42.281439
645 N. 4th St.,-83.747107,42.287026
120 E. Summit St.,-83.746656,42.28794
1738 Murfin Ave.,-83.719167,42.294661
1102 Lincoln St.,-83.729832,42.268637
613 S. Thayer St.,-83.739582,42.278875
530 N. 5th Ave.,-83.74554,42.285908
2027 Stockwell,-83.731374,42.278684
212 State St.,-83.741337,42.279718
17 Madison Pl.,-83.75964,42.272819
211 S. Ingalls St.,-83.7312,42.265536
1025 Wall St.,-83.735437,42.288186
1082 Ferdon Rd.,-83.725795,42.267732
301 S. 14th St.,-83.734505,42.281915
556 S. State St.,-83.741273,42.274407
126 N. Division St.,-83.743246,42.282142
731 Tappan St.,-83.73821,42.274111
Law Club,-83.739363,42.274996
506 E. Catherine St.,-83.742575,42.282818
426 N Ingalls St.,-83.738108,42.28493
Catherine St.,-83.741668,42.28319
1220 E Washington,-83.73689,42.28058
718 N. 4th Ave.,-83.745938,42.28749
1237 White St.,-83.739048,42.266292
1001 Oakland Ave.,-83.737673,42.270526
1325 Washtenaw Ave.,-83.731939,42.276367
1014 Woodlawn Ave.,-83.734911,42.264928
117 E. Ann St.,-83.747668,42.282585
333 Beakes St.,-83.744621,42.286831
40 Geddes Ave,-83.672844,42.273594
131 Adams,-83.747643,42.272042
809 Greene St.,-83.747469,42.268351
116 E. Summit St.,-83.746781,42.287988
1319 Wells St.,-83.732133,42.267213
224 S.Thayer St.,-83.739962,42.279446
625 Felch St.,-83.755295,42.285995
337 Beakes St.,-83.744484,42.286919
439 S. Division,-83.743914,42.276481
622 S. Ashley,-83.750387,42.273284
19 4th St.,-83.754774,42.276055
335 E. Ann St.,-83.744397,42.282504
21 Jefferson St.,-83.751257,42.276052
731 Tappan,-83.73821,42.274111
AME Church,-83.734809,42.296319
1 Packard St.,-83.748751,42.276829
114 N. Ingalls,-83.738107,42.281814
28 S. Division,-83.744339,42.273922
621 Forest Ave.,-83.732777,42.274515
1000 Catherine St.,-83.736946,42.282834
711 Haven,-83.739342,42.276357
6 13th St.,-83.734581,42.281836
445 E. University Ave.,-83.735741,42.272628
Hickory St.,-83.702649,42.272328
612 E. Madison,-83.741281,42.274423
208 Observatory,-83.731368,42.280012
122 Hawkins St.,-83.623122,42.237776
1115 E. Catherine St.,-83.7345,42.283679
105 E. Summit,-83.746982,42.288534
13 E. Ann St.,-83.748291,42.282353
47 S. 4th Ave.,-83.747283,42.281544
508 N. 4th Ave.,-83.746782,42.285214
548 Elizabeth St.,-83.741718,42.285598
119 N. Thayer,-83.740002,42.281881
402 S. Observatory St.,-83.731135,42.278276
635 N. 4th St.,-83.74676,42.28667
212 14 St.,-83.733851,42.282876
646 N. 4th St.,-83.746417,42.286963
920 Detroit St.,-83.743611,42.286948
612 Madison,-83.755426,42.274186
209 S. State St.,-83.74047,42.279909
